ReadingDateTime,Site,Species,Value,Units,Provisional or Ratified
2005-11-09 14:30:00,BX1,WSPD,1.7,m/s,P
2005-07-05 00:45:00,BX1,WDIR,212.0,oN,P
2005-05-30 15:15:00,BX1,FINE,11.0,ug/m3,P
2005-06-06 05:00:00,BX1,WDIR,19.0,oN,P
2005-09-01 09:00:00,BX1,FINE,7.0,ug/m3,P
2005-10-01 22:30:00,BX1,FINE,5.0,ug/m3,P
2005-09-01 05:00:00,BX1,CO,0.2,mg m-3,R
2005-01-09 14:15:00,BX1,WSPD,2.7,m/s,P
2005-10-26 10:15:00,BX1,WSPD,2.2,m/s,P
2005-02-20 10:15:00,BX1,WSPD,3.6,m/s,P
2005-03-05 03:00:00,BX1,WDIR,182.0,oN,P
2005-04-20 10:15:00,BX1,CO,0.2,mg m-3,R
2005-08-13 03:15:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-05-24 18:45:00,BX1,CO,0.2,mg m-3,R
2005-08-16 14:00:00,BX1,WDIR,122.0,oN,P
2005-04-01 20:00:00,BX1,WDIR,247.0,oN,P
2005-04-21 14:15:00,BX1,WDIR,60.0,oN,P
2005-02-11 11:30:00,BX1,WDIR,178.0,oN,P
2005-11-08 22:30:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-12-28 10:15:00,BX1,CO,0.2,mg m-3,R
2005-11-14 05:15:00,BX1,WSPD,1.4,m/s,P
2005-08-24 18:15:00,BX1,FINE,3.0,ug/m3,P
2005-07-07 14:00:00,BX1,WDIR,19.0,oN,P
2005-09-09 15:00:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-11-03 02:00:00,BX1,WDIR,203.0,oN,P
2005-04-07 18:15:00,BX1,WDIR,232.0,oN,P
2005-09-22 04:15:00,BX1,WSPD,0.8,m/s,P
2005-12-01 07:00:00,BX1,WSPD,2.5,m/s,P
2005-11-24 20:45:00,BX1,WSPD,4.3,m/s,P
2005-12-26 19:00:00,BX1,FINE,6.0,ug/m3,P
2005-04-08 07:15:00,BX1,FINE,12.0,ug/m3,P
2005-08-14 02:30:00,BX1,CO,0.1,mg m-3,R
2005-05-07 10:30:00,BX1,FINE,8.0,ug/m3,P
2005-04-09 17:00:00,BX1,FINE,22.0,ug/m3,P
2005-06-17 05:15:00,BX1,WSPD,2.5,m/s,P
2005-02-06 19:15:00,BX1,WDIR,208.0,oN,P
2005-07-01 08:30:00,BX1,PM10,17.6,ug m-3 reference equiv by VCM,R
2005-08-11 08:45:00,BX1,WDIR,148.0,oN,P
2005-01-10 07:15:00,BX1,WDIR,209.0,oN,P
2005-09-28 01:15:00,BX1,WSPD,3.0,m/s,P
2005-01-26 07:15:00,BX1,FINE,8.0,ug/m3,P
2005-06-07 22:30:00,BX1,WSPD,3.7,m/s,P
2005-06-02 05:15:00,BX1,WSPD,2.2,m/s,P
2005-03-05 02:30:00,BX1,WDIR,146.0,oN,P
2005-01-17 04:30:00,BX1,FINE,2.0,ug/m3,P
2005-08-15 22:00:00,BX1,FINE,16.0,ug/m3,P
2005-01-14 23:45:00,BX1,WSPD,1.8,m/s,P
2005-06-02 09:45:00,BX1,WSPD,1.7,m/s,P
2005-07-31 09:00:00,BX1,PM10,13.6,ug m-3 reference equiv by VCM,R
2005-10-03 12:15:00,BX1,WDIR,207.0,oN,P
2005-04-21 09:15:00,BX1,PM10,59.6,ug m-3 reference equiv by VCM,R
2005-08-29 11:15:00,BX1,CO,0.1,mg m-3,R
2005-03-30 14:45:00,BX1,WSPD,1.6,m/s,P
2005-10-27 19:45:00,BX1,WSPD,1.9,m/s,P
2005-06-29 05:45:00,BX1,FINE,16.0,ug/m3,P
2005-06-22 14:00:00,BX1,PM10,36.4,ug m-3 reference equiv by VCM,R
2005-09-29 07:15:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-05-19 15:45:00,BX1,PM10,-0.8,ug m-3 reference equiv by VCM,R
2005-04-19 22:45:00,BX1,CO,0.2,mg m-3,R
2005-11-05 15:00:00,BX1,PM10,11.7,ug m-3 reference equiv by VCM,R
2005-01-23 18:15:00,BX1,WDIR,289.0,oN,P
2005-06-29 21:30:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-11-22 03:00:00,BX1,PM10,31.1,ug m-3 reference equiv by VCM,R
2005-01-28 16:15:00,BX1,PM10,7.3,ug m-3 reference equiv by VCM,R
2005-03-23 00:30:00,BX1,WSPD,2.2,m/s,P
2005-07-23 05:00:00,BX1,CO,0.2,mg m-3,R
2005-09-30 20:15:00,BX1,FINE,10.0,ug/m3,P
2005-03-24 13:45:00,BX1,FINE,9.0,ug/m3,P
2005-01-27 00:45:00,BX1,WSPD,1.8,m/s,P
2005-09-08 10:30:00,BX1,CO,0.2,mg m-3,R
2005-02-01 11:15:00,BX1,WDIR,229.0,oN,P
2005-09-08 17:00:00,BX1,CO,0.2,mg m-3,R
2005-06-20 18:45:00,BX1,CO,0.2,mg m-3,R
2005-04-08 10:30:00,BX1,WDIR,244.0,oN,P
2005-12-18 21:45:00,BX1,CO,0.1,mg m-3,R
2005-01-07 01:00:00,BX1,WSPD,2.2,m/s,P
2005-01-08 17:00:00,BX1,CO,0.2,mg m-3,R
2005-04-23 22:45:00,BX1,FINE,20.0,ug/m3,P
2005-09-12 06:15:00,BX1,FINE,9.0,ug/m3,P
2005-12-14 02:30:00,BX1,FINE,9.0,ug/m3,P
2005-05-05 14:15:00,BX1,CO,0.2,mg m-3,R
2005-05-22 06:15:00,BX1,WSPD,3.2,m/s,P
2005-02-11 01:30:00,BX1,FINE,3.0,ug/m3,P
2005-05-12 20:45:00,BX1,WSPD,2.2,m/s,P
2005-10-09 18:30:00,BX1,WDIR,158.0,oN,P
2005-02-21 14:45:00,BX1,PM10,11.5,ug m-3 reference equiv by VCM,R
2005-05-24 05:30:00,BX1,FINE,7.0,ug/m3,P
2005-12-03 17:00:00,BX1,CO,0.3,mg m-3,R
2005-01-06 00:00:00,BX1,FINE,11.0,ug/m3,P
2005-05-14 14:30:00,BX1,WSPD,2.7,m/s,P
2005-01-04 18:30:00,BX1,PM10,65.2,ug m-3 reference equiv by VCM,R
2005-11-01 14:45:00,BX1,PM10,9.7,ug m-3 reference equiv by VCM,R
2005-02-02 15:15:00,BX1,PM10,22.7,ug m-3 reference equiv by VCM,R
2005-04-18 10:45:00,BX1,PM10,14.6,ug m-3 reference equiv by VCM,R
2005-12-30 03:45:00,BX1,WDIR,138.0,oN,P
2005-11-03 05:00:00,BX1,WSPD,3.2,m/s,P
2005-08-17 23:45:00,BX1,WSPD,0.7,m/s,P
2005-01-19 17:30:00,BX1,CO,0.3,mg m-3,R
2005-02-22 09:45:00,BX1,FINE,19.0,ug/m3,P
2005-04-01 00:45:00,BX1,FINE,4.0,ug/m3,P
2005-06-06 23:30:00,BX1,FINE,7.0,ug/m3,P
2005-01-03 02:30:00,BX1,FINE,6.0,ug/m3,P
2005-04-19 16:15:00,BX1,WSPD,2.5,m/s,P
2005-10-11 10:30:00,BX1,WDIR,200.0,oN,P
2005-10-23 05:45:00,BX1,FINE,10.0,ug/m3,P
2005-04-29 00:15:00,BX1,WSPD,1.8,m/s,P
2005-09-09 15:00:00,BX1,WDIR,112.0,oN,P
2005-11-26 04:30:00,BX1,WDIR,283.0,oN,P
2005-01-19 09:30:00,BX1,PM10,16.2,ug m-3 reference equiv by VCM,R
2005-12-04 19:00:00,BX1,CO,0.2,mg m-3,R
2005-01-28 04:00:00,BX1,WDIR,299.0,oN,P
2005-03-19 17:45:00,BX1,WDIR,59.0,oN,P
2005-06-23 19:45:00,BX1,PM10,33.8,ug m-3 reference equiv by VCM,R
2005-06-27 23:45:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-04-12 21:15:00,BX1,WSPD,2.2,m/s,P
2005-05-23 22:15:00,BX1,CO,0.2,mg m-3,R
2005-07-08 14:00:00,BX1,WDIR,6.0,oN,P
2005-08-03 00:30:00,BX1,FINE,9.0,ug/m3,P
2005-04-18 18:15:00,BX1,WDIR,180.0,oN,P
2005-12-29 02:30:00,BX1,WDIR,290.0,oN,P
2005-11-02 11:45:00,BX1,WSPD,1.4,m/s,P
2005-09-15 13:15:00,BX1,FINE,2.0,ug/m3,P
2005-05-20 12:30:00,BX1,WSPD,3.8,m/s,P
2005-06-02 06:00:00,BX1,WDIR,116.0,oN,P
2005-04-08 08:00:00,BX1,CO,0.3,mg m-3,R
2005-04-14 16:00:00,BX1,WSPD,2.4,m/s,P
2005-12-18 06:15:00,BX1,PM10,15.2,ug m-3 reference equiv by VCM,R
2005-07-13 18:30:00,BX1,WDIR,160.0,oN,P
2005-03-22 14:30:00,BX1,FINE,8.0,ug/m3,P
2005-01-24 02:30:00,BX1,PM10,14.1,ug m-3 reference equiv by VCM,R
2005-01-21 22:30:00,BX1,WSPD,,m/s,P
2005-11-07 16:00:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-11-20 22:15:00,BX1,CO,2.1,mg m-3,R
2005-05-02 03:15:00,BX1,WDIR,147.0,oN,P
2005-06-16 16:15:00,BX1,CO,0.2,mg m-3,R
2005-02-18 21:15:00,BX1,FINE,7.0,ug/m3,P
2005-02-15 09:15:00,BX1,PM10,11.8,ug m-3 reference equiv by VCM,R
2005-03-09 20:45:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-05-07 13:15:00,BX1,WDIR,181.0,oN,P
2005-07-25 17:00:00,BX1,CO,0.2,mg m-3,R
2005-10-06 11:30:00,BX1,WSPD,2.0,m/s,P
2005-11-08 14:15:00,BX1,FINE,3.0,ug/m3,P
2005-04-17 23:30:00,BX1,WDIR,128.0,oN,P
2005-03-23 18:45:00,BX1,PM10,55.1,ug m-3 reference equiv by VCM,R
2005-11-27 16:45:00,BX1,WSPD,2.4,m/s,P
2005-01-25 06:00:00,BX1,FINE,9.0,ug/m3,P
2005-04-17 03:00:00,BX1,PM10,23.6,ug m-3 reference equiv by VCM,R
2005-04-09 21:15:00,BX1,WSPD,1.1,m/s,P
2005-08-05 14:45:00,BX1,WSPD,3.2,m/s,P
2005-02-03 21:30:00,BX1,CO,0.1,mg m-3,R
2005-09-28 09:30:00,BX1,CO,0.2,mg m-3,R
2005-07-10 07:15:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-06-08 16:15:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-10-10 23:15:00,BX1,CO,0.1,mg m-3,R
2005-04-25 17:15:00,BX1,WSPD,2.1,m/s,P
2005-07-28 01:45:00,BX1,CO,0.1,mg m-3,R
2005-07-11 00:30:00,BX1,PM10,16.2,ug m-3 reference equiv by VCM,R
2005-10-07 05:15:00,BX1,CO,0.2,mg m-3,R
2005-09-19 05:15:00,BX1,FINE,11.0,ug/m3,P
2005-01-28 06:15:00,BX1,CO,0.2,mg m-3,R
2005-02-25 03:00:00,BX1,CO,0.3,mg m-3,R
2005-12-12 08:30:00,BX1,WDIR,340.0,oN,P
2005-05-26 11:30:00,BX1,WSPD,3.5,m/s,P
2005-06-27 03:45:00,BX1,WSPD,1.2,m/s,P
2005-08-27 11:30:00,BX1,FINE,4.0,ug/m3,P
2005-06-26 14:30:00,BX1,FINE,11.0,ug/m3,P
2005-04-09 09:00:00,BX1,WDIR,51.0,oN,P
2005-07-05 22:45:00,BX1,PM10,8.9,ug m-3 reference equiv by VCM,R
2005-06-05 18:30:00,BX1,WDIR,258.0,oN,P
2005-10-08 21:45:00,BX1,FINE,13.0,ug/m3,P
2005-07-20 22:45:00,BX1,PM10,14.5,ug m-3 reference equiv by VCM,R
2005-12-25 11:15:00,BX1,PM10,15.3,ug m-3 reference equiv by VCM,R
2005-08-02 03:00:00,BX1,WSPD,0.7,m/s,P
2005-05-06 19:00:00,BX1,WDIR,196.0,oN,P
2005-02-21 21:45:00,BX1,WDIR,24.0,oN,P
2005-10-24 09:15:00,BX1,WSPD,2.7,m/s,P
2005-10-08 13:00:00,BX1,CO,0.2,mg m-3,R
2005-06-24 08:45:00,BX1,PM10,86.1,ug m-3 reference equiv by VCM,R
2005-06-16 16:30:00,BX1,WDIR,203.0,oN,P
2005-01-12 16:15:00,BX1,WSPD,4.6,m/s,P
2005-06-16 20:30:00,BX1,CO,0.1,mg m-3,R
2005-05-25 23:45:00,BX1,CO,0.3,mg m-3,R
2005-04-14 20:45:00,BX1,FINE,11.0,ug/m3,P
2005-01-08 20:45:00,BX1,WDIR,80.0,oN,P
2005-08-23 22:00:00,BX1,FINE,5.0,ug/m3,P
2005-01-13 14:30:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-10-09 05:45:00,BX1,FINE,7.0,ug/m3,P
2005-11-14 15:15:00,BX1,CO,0.3,mg m-3,R
2005-06-19 14:15:00,BX1,WSPD,2.6,m/s,P
2005-11-11 08:15:00,BX1,WSPD,4.0,m/s,P
2005-07-16 00:30:00,BX1,PM10,21.7,ug m-3 reference equiv by VCM,R
2005-09-23 00:45:00,BX1,WSPD,0.8,m/s,P
2005-11-24 00:15:00,BX1,CO,0.1,mg m-3,R
2005-12-24 03:15:00,BX1,FINE,11.0,ug/m3,P
2005-08-06 20:00:00,BX1,WDIR,63.0,oN,P
2005-11-22 01:00:00,BX1,PM10,44.6,ug m-3 reference equiv by VCM,R
2005-08-29 18:30:00,BX1,WDIR,245.0,oN,P
2005-06-13 06:15:00,BX1,PM10,12.1,ug m-3 reference equiv by VCM,R
2005-08-26 07:00:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-06-29 02:15:00,BX1,WSPD,0.9,m/s,P
2005-01-09 00:00:00,BX1,CO,0.1,mg m-3,R
2005-04-15 05:00:00,BX1,WDIR,188.0,oN,P
2005-04-11 00:00:00,BX1,FINE,6.0,ug/m3,P
2005-10-02 08:15:00,BX1,CO,0.3,mg m-3,R
2005-06-04 06:30:00,BX1,WDIR,162.0,oN,P
2005-05-07 12:45:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-10-14 20:00:00,BX1,WDIR,41.0,oN,P
2005-09-22 22:30:00,BX1,WSPD,0.8,m/s,P
2005-05-09 14:30:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-03-28 01:15:00,BX1,WSPD,1.7,m/s,P
2005-01-29 22:30:00,BX1,PM10,13.4,ug m-3 reference equiv by VCM,R
2005-11-05 22:15:00,BX1,PM10,16.4,ug m-3 reference equiv by VCM,R
2005-10-26 17:15:00,BX1,PM10,15.4,ug m-3 reference equiv by VCM,R
2005-01-08 06:00:00,BX1,PM10,28.5,ug m-3 reference equiv by VCM,R
2005-10-31 12:30:00,BX1,WSPD,1.2,m/s,P
2005-07-25 13:45:00,BX1,FINE,7.0,ug/m3,P
2005-10-07 00:00:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-11-27 18:00:00,BX1,CO,0.2,mg m-3,R
2005-06-03 10:15:00,BX1,WSPD,3.2,m/s,P
2005-10-24 03:45:00,BX1,FINE,2.0,ug/m3,P
2005-06-10 19:30:00,BX1,WDIR,136.0,oN,P
2005-01-15 20:15:00,BX1,WDIR,147.0,oN,P
2005-05-09 13:45:00,BX1,WDIR,220.0,oN,P
2005-06-18 10:30:00,BX1,FINE,7.0,ug/m3,P
2005-04-02 04:45:00,BX1,PM10,36.6,ug m-3 reference equiv by VCM,R
2005-08-15 20:00:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-11-25 16:00:00,BX1,WDIR,243.0,oN,P
2005-12-26 05:45:00,BX1,PM10,9.2,ug m-3 reference equiv by VCM,R
2005-07-12 14:45:00,BX1,WDIR,219.0,oN,P
2005-04-06 11:00:00,BX1,PM10,-3.4,ug m-3 reference equiv by VCM,R
2005-12-24 05:15:00,BX1,CO,0.2,mg m-3,R
2005-02-11 22:00:00,BX1,PM10,17.6,ug m-3 reference equiv by VCM,R
2005-03-28 06:30:00,BX1,FINE,33.0,ug/m3,P
2005-06-07 06:45:00,BX1,WSPD,2.7,m/s,P
2005-10-13 17:15:00,BX1,CO,0.2,mg m-3,R
2005-10-23 22:30:00,BX1,PM10,13.4,ug m-3 reference equiv by VCM,R
2005-03-21 03:15:00,BX1,PM10,41.9,ug m-3 reference equiv by VCM,R
2005-02-07 02:45:00,BX1,WDIR,206.0,oN,P
2005-09-19 10:15:00,BX1,FINE,3.0,ug/m3,P
2005-08-10 04:30:00,BX1,WDIR,164.0,oN,P
2005-07-29 20:30:00,BX1,WDIR,198.0,oN,P
2005-04-05 08:45:00,BX1,PM10,28.8,ug m-3 reference equiv by VCM,R
2005-01-15 21:30:00,BX1,CO,0.3,mg m-3,R
2005-07-25 09:00:00,BX1,WSPD,1.9,m/s,P
2005-11-18 17:00:00,BX1,CO,0.5,mg m-3,R
2005-12-21 14:15:00,BX1,FINE,15.0,ug/m3,P
2005-03-30 03:45:00,BX1,WDIR,34.0,oN,P
2005-05-23 00:15:00,BX1,WDIR,190.0,oN,P
2005-05-30 10:30:00,BX1,CO,0.1,mg m-3,R
2005-03-09 20:45:00,BX1,WDIR,58.0,oN,P
2005-09-01 20:15:00,BX1,WDIR,189.0,oN,P
2005-03-02 13:45:00,BX1,PM10,48.4,ug m-3 reference equiv by VCM,R
2005-12-04 15:30:00,BX1,PM10,15.1,ug m-3 reference equiv by VCM,R
2005-05-05 04:45:00,BX1,CO,0.3,mg m-3,R
2005-06-03 07:30:00,BX1,CO,0.2,mg m-3,R
