ReadingDateTime,Site,Species,Value,Units,Provisional or Ratified
2005-04-19 11:30:00,BX1,WSPD,2.7,m/s,P
2005-03-01 23:15:00,BX1,CO,0.2,mg m-3,R
2005-12-22 18:00:00,BX1,WSPD,2.9,m/s,P
2005-10-10 01:15:00,BX1,WSPD,1.0,m/s,P
2005-02-05 06:00:00,BX1,FINE,14.0,ug/m3,P
2005-05-27 03:15:00,BX1,CO,0.2,mg m-3,R
2005-07-13 19:45:00,BX1,WSPD,1.9,m/s,P
2005-01-29 23:00:00,BX1,CO,0.2,mg m-3,R
2005-10-11 04:00:00,BX1,PM10,18.3,ug m-3 reference equiv by VCM,R
2005-03-30 14:00:00,BX1,WSPD,2.0,m/s,P
2005-04-15 18:00:00,BX1,PM10,18.5,ug m-3 reference equiv by VCM,R
2005-06-27 09:00:00,BX1,WSPD,2.0,m/s,P
2005-05-20 11:00:00,BX1,CO,0.2,mg m-3,R
2005-07-06 02:15:00,BX1,PM10,14.6,ug m-3 reference equiv by VCM,R
2005-07-18 17:45:00,BX1,FINE,,ug/m3,P
2005-04-21 01:30:00,BX1,FINE,14.0,ug/m3,P
2005-08-02 21:00:00,BX1,WSPD,1.4,m/s,P
2005-07-20 21:30:00,BX1,FINE,8.0,ug/m3,P
2005-09-28 10:45:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-03-17 04:15:00,BX1,CO,0.1,mg m-3,R
2005-05-22 14:15:00,BX1,PM10,11.5,ug m-3 reference equiv by VCM,R
2005-11-02 05:30:00,BX1,CO,0.1,mg m-3,R
2005-08-28 08:15:00,BX1,CO,0.1,mg m-3,R
2005-02-01 17:30:00,BX1,WSPD,2.8,m/s,P
2005-12-03 17:00:00,BX1,WSPD,3.2,m/s,P
2005-12-09 10:15:00,BX1,CO,0.2,mg m-3,R
2005-05-05 07:15:00,BX1,CO,0.6,mg m-3,R
2005-11-14 21:15:00,BX1,CO,0.3,mg m-3,R
2005-03-03 18:30:00,BX1,WDIR,2.0,oN,P
2005-07-15 05:45:00,BX1,WSPD,3.0,m/s,P
2005-12-18 07:45:00,BX1,PM10,16.9,ug m-3 reference equiv by VCM,R
2005-03-04 08:30:00,BX1,FINE,5.0,ug/m3,P
2005-01-27 09:15:00,BX1,FINE,10.0,ug/m3,P
2005-08-10 01:00:00,BX1,FINE,26.0,ug/m3,P
2005-07-07 22:30:00,BX1,WDIR,9.0,oN,P
2005-06-06 13:15:00,BX1,PM10,16.4,ug m-3 reference equiv by VCM,R
2005-11-05 00:30:00,BX1,WDIR,293.0,oN,P
2005-03-28 00:45:00,BX1,FINE,18.0,ug/m3,P
2005-03-27 04:00:00,BX1,FINE,13.0,ug/m3,P
2005-03-26 05:00:00,BX1,FINE,21.0,ug/m3,P
2005-09-15 00:30:00,BX1,WDIR,241.0,oN,P
2005-10-04 15:00:00,BX1,FINE,13.0,ug/m3,P
2005-08-23 19:45:00,BX1,WDIR,186.0,oN,P
2005-03-19 04:00:00,BX1,CO,0.8,mg m-3,R
2005-11-17 22:45:00,BX1,FINE,19.0,ug/m3,P
2005-11-09 06:15:00,BX1,CO,0.2,mg m-3,R
2005-04-17 14:30:00,BX1,WDIR,172.0,oN,P
2005-11-14 14:30:00,BX1,CO,0.3,mg m-3,R
2005-10-08 08:15:00,BX1,WSPD,1.8,m/s,P
2005-08-28 17:45:00,BX1,WSPD,2.7,m/s,P
2005-05-12 15:30:00,BX1,FINE,13.0,ug/m3,P
2005-02-17 20:30:00,BX1,CO,1.2,mg m-3,R
2005-02-06 15:30:00,BX1,PM10,12.9,ug m-3 reference equiv by VCM,R
2005-12-03 07:00:00,BX1,WSPD,3.9,m/s,P
2005-09-23 02:45:00,BX1,FINE,25.0,ug/m3,P
2005-04-20 03:30:00,BX1,CO,0.2,mg m-3,R
2005-11-24 05:45:00,BX1,CO,1.0,mg m-3,R
2005-12-31 14:45:00,BX1,WSPD,3.5,m/s,P
2005-12-03 17:45:00,BX1,PM10,9.9,ug m-3 reference equiv by VCM,R
2005-02-17 20:45:00,BX1,PM10,43.8,ug m-3 reference equiv by VCM,R
2005-03-24 00:15:00,BX1,CO,0.2,mg m-3,R
2005-01-03 03:00:00,BX1,PM10,15.9,ug m-3 reference equiv by VCM,R
2005-04-26 18:15:00,BX1,PM10,15.0,ug m-3 reference equiv by VCM,R
2005-12-13 08:45:00,BX1,WSPD,1.6,m/s,P
2005-10-31 11:45:00,BX1,CO,0.3,mg m-3,R
2005-03-29 07:15:00,BX1,WSPD,1.8,m/s,P
2005-08-06 00:00:00,BX1,CO,0.3,mg m-3,R
2005-02-28 19:30:00,BX1,PM10,22.4,ug m-3 reference equiv by VCM,R
2005-01-30 17:15:00,BX1,WSPD,1.5,m/s,P
2005-03-23 18:30:00,BX1,FINE,19.0,ug/m3,P
2005-04-17 15:00:00,BX1,CO,0.1,mg m-3,R
2005-08-26 13:00:00,BX1,PM10,,ug m-3 reference equiv by VCM,R
2005-06-18 05:30:00,BX1,WDIR,126.0,oN,P
2005-10-16 06:30:00,BX1,WDIR,145.0,oN,P
2005-05-30 12:30:00,BX1,WSPD,1.3,m/s,P
2005-05-12 07:00:00,BX1,PM10,12.6,ug m-3 reference equiv by VCM,R
2005-08-30 00:15:00,BX1,WSPD,0.9,m/s,P
2005-06-27 13:00:00,BX1,FINE,15.0,ug/m3,P
2005-03-07 13:15:00,BX1,WDIR,196.0,oN,P
2005-10-01 02:30:00,BX1,CO,0.2,mg m-3,R
2005-11-17 05:45:00,BX1,WDIR,244.0,oN,P
2005-03-09 02:45:00,BX1,WDIR,25.0,oN,P
2005-06-13 04:15:00,BX1,WSPD,1.5,m/s,P
2005-11-30 12:45:00,BX1,FINE,8.0,ug/m3,P
2005-07-29 15:00:00,BX1,WDIR,203.0,oN,P
2005-10-19 00:45:00,BX1,CO,,mg m-3,R
2005-05-03 15:30:00,BX1,WSPD,2.9,m/s,P
2005-04-07 07:15:00,BX1,WDIR,235.0,oN,P
2005-12-11 20:00:00,BX1,WDIR,208.0,oN,P
2005-03-03 04:30:00,BX1,FINE,8.0,ug/m3,P
2005-09-14 19:15:00,BX1,WSPD,2.6,m/s,P
